# From MPC 26543
C/2007 G1 (LINEAR),e,88.3447,79.0243,223.8892,4236,0.0000036,0.99937494,0.0000,11/13.3630/2008,2000,g  5.5,4.0
# From MPC 82314
P/2007 K2 (Gibbs),e,7.6524,188.6652,347.4394,7.249793,0.0504912,0.68569840,141.1692,02/05.0/2015,2000,g 14.0,4.0
# From MPC 82314
C/2007 K3 (Siding Spring),e,16.2998,263.2727,23.4108,1541,0.0000163,0.99867179,0.0000,04/18.8762/2008,2000,g  9.5,4.0
# From MPC 87475
C/2007 M1 (McNaught),e,139.6697,326.9259,52.6592,1739,0.0000136,0.99570841,0.0000,08/10.7506/2008,2000,g  6.0,4.0
# From MPC 68392
C/2007 M2 (Catalina),e,81.0984,357.2283,220.6256,1077,0.0000279,0.99671218,0.0000,12/07.9807/2008,2000,g  8.0,4.0
# From MPC 73461
C/2007 N3 (Lulin),e,178.3755,338.3258,136.6200,1081,0.0000277,0.99887359,0.0000,01/07.6833/2009,2000,g  6.5,4.0
# From MPC 60925
P/2007 Q2 (Gilmore),e,10.2189,172.2678,163.2535,5.614488,0.0740865,0.66935333,202.2072,02/05.0/2015,2000,g 16.0,4.0
# From MPC 78183
C/2007 Q3 (Siding Spring),h,10/07.6635/2009,65.7399,149.2692,2.1419,1.000085,2.252552,2000,4.5,4.0
# From MPC 75514
P/2007 R1 (Larson),e,7.8675,181.6660,175.5154,6.051992,0.0661998,0.27620605,180.5601,02/05.0/2015,2000,g  8.0,4.0
# From MPC 75708
P/2007 R2 (Gibbs),e,1.4274,8.7243,353.3711,3.446149,0.1540647,0.57402864,59.3437,02/05.0/2015,2000,g 17.0,4.0
# From MPC 82314
P/2007 R3 (Gibbs),e,3.7937,30.0776,312.2551,4.298480,0.1105940,0.41369386,307.1815,02/05.0/2015,2000,g 13.5,4.0
# From MPC 75708
P/2007 R4 (Garradd),e,20.2000,87.3341,283.2012,5.873495,0.0692403,0.66934135,186.4490,02/05.0/2015,2000,g 14.5,4.0
# From MPC 73462
P/2007 S1 (Zhao),e,5.9734,141.5261,245.7316,3.799881,0.1330605,0.34357352,347.5026,02/05.0/2015,2000,g 13.0,4.0
# From MPC 82314
C/2007 S2 (Lemmon),e,16.8768,296.0511,210.4781,12.54117,0.0221920,0.55737720,51.8035,02/05.0/2015,2000,g  6.5,4.0
# From MPC 62270
C/2007 T1 (McNaught),e,117.3848,111.3309,233.6595,2002,0.0000110,0.99951584,0.0000,12/09.8132/2007,2000,g 10.5,4.0
# From MPC 61994
P/2007 T2 (Kowalski),e,9.9137,3.8778,358.6179,3.085130,0.1818838,0.77572837,129.0148,02/05.0/2015,2000,g 18.5,4.0
# From MPC 62879
P/2007 T4 (Gibbs),e,23.8730,37.1300,42.5000,5.239645,0.0821772,0.61873009,226.1446,02/05.0/2015,2000,g 13.0,4.0
# From MPC 65935
C/2007 T5 (Gibbs),e,45.6722,109.7479,34.4361,46.60006,0.0030983,0.91315408,7.5802,02/05.0/2015,2000,g  8.0,4.0
# From MPC 75708
P/2007 T6 (Catalina),e,22.1870,102.5339,335.8763,4.478521,0.1039925,0.50428673,282.9222,02/05.0/2015,2000,g 12.5,4.0
# From MPC 66921
C/2007 U1 (LINEAR),h,08/08.3185/2008,157.7791,50.3220,1.3887,1.001149,3.339871,2000,9.0,4.0
# From MPC 75708
P/2007 V1 (Larson),e,10.7611,7.9766,51.7337,4.970401,0.0889441,0.46278461,232.2087,02/05.0/2015,2000,g 12.0,4.0
# From MPC 75708
P/2007 V2 (Hill),e,2.4704,99.8211,278.8655,4.072717,0.1199162,0.31750633,328.8085,02/05.0/2015,2000,g 13.0,4.0
# From MPC 75708
P/2007 VQ11 (Catalina),e,12.3233,163.8508,277.8543,5.409681,0.0783333,0.50377381,199.3396,02/05.0/2015,2000,g 12.0,4.0
# From MPC 81468
C/2007 VO53 (Spacewatch),h,04/27.3215/2010,86.9941,59.7141,75.1602,1.002091,4.849034,2000,7.0,4.0
# From MPC 63599
